N,run,C,k
10,96,1.424949570244588,20
10,97,1.4303501048940186,20
10,98,1.4222498698626658,20
10,99,1.4110234904083903,20
10,100,1.4117591778379888,20
15,1,1.3957736269849828,20
15,2,1.3975813976461595,20
15,3,1.3968047109886168,20
15,4,1.4060771685961164,20
15,5,1.3995736171342235,20
15,6,1.4033754164870398,20
15,7,1.401812080348653,20
15,8,1.390616792557461,20
15,9,1.398458546448728,20
15,10,1.3983425604824442,20
15,11,1.3984209371135108,20
15,12,1.4203735916789977,20
15,13,1.3978961574144342,20
15,14,1.4133767415049474,20
15,15,1.3929849844514697,20
15,16,1.3956372008864424,20
15,17,1.3893951295996045,20
15,18,1.4195342477667288,20
15,19,1.4054434125293929,20
15,20,1.4163619174458657,20
15,21,1.4014632944022984,20
15,22,1.4045160559301837,20
15,23,1.4042683039602577,20
15,24,1.402079415728742,20
15,25,1.4041407578874596,20
15,26,1.3914462172593098,20
15,27,1.3982052272364118,20
15,28,1.4005147455951579,20
15,29,1.409503630922112,20
15,30,1.3958758391216848,20
15,31,1.4280600635887746,20
15,32,1.4077199324463834,20
15,33,1.398935951172748,20
15,34,1.3992634909675932,20
15,35,1.3922111124815237,20
15,36,1.4067048870507217,20
15,37,1.408003316447047,20
15,38,1.4109469261564953,20
15,39,1.3930768009814045,20
15,40,1.4015456455531705,20
15,41,1.4021961353858294,20
15,42,1.395437796660448,20
15,43,1.3946803735013744,20
15,44,1.4078535776509413,20
15,45,1.4050654453898384,20
15,46,1.415613171180432,20
15,47,1.4102376675909132,20
15,48,1.3861377259880585,20
15,49,1.4056437523244671,20
15,50,1.3923981925957645,20
15,51,1.3949345574792817,20
15,52,1.4115216039481897,20
15,53,1.397200782988162,20
15,54,1.393683834200348,20
15,55,1.4044248547707154,20
15,56,1.4014409377927206,20
15,57,1.3878929017780441,20
15,58,1.393118081935914,20
15,59,1.3991289657308568,20
15,60,1.4310555050398948,20
15,61,1.4125503007684705,20
15,62,1.3845287592080782,20
15,63,1.3923745805360859,20
15,64,1.3882570427950256,20
15,65,1.3879678951746575,20
15,66,1.402262379768062,20
15,67,1.3910020082151666,20
15,68,1.3920997188543491,20
15,69,1.384664517211712,20
15,70,1.4010145432998278,20
15,71,1.4030856383280539,20
15,72,1.4163511974858936,20
15,73,1.3968523920238214,20
15,74,1.4205748925415165,20
15,75,1.402318383360012,20
15,76,1.3942243706496853,20
15,77,1.394699859471424,20
15,78,1.3862376463632777,20
15,79,1.4061405977472823,20
15,80,1.39114106416827,20
15,81,1.405683175169475,20
15,82,1.419642814682901,20
15,83,1.3896872921658125,20
15,84,1.3957378233893079,20
15,85,1.3994345478863062,20
15,86,1.3969378747405048,20
15,87,1.3968817912339517,20
15,88,1.4084808859035705,20
15,89,1.3926409854342383,20
15,90,1.396695239568867,20
15,91,1.395152323725643,20
15,92,1.4094232569927139,20
15,93,1.4074413843661147,20
15,94,1.4009220001450984,20
15,95,1.4042220204327938,20
15,96,1.3886380465174424,20
15,97,1.3979264590284475,20
15,98,1.399507985504447,20
15,99,1.3983809539574283,20
15,100,1.3958091822746603,20
20,1,1.4030794667145392,20
20,2,1.4039959477286414,20
20,3,1.4080677991784667,20
20,4,1.4044417847048483,20
20,5,1.4037634337762503,20
20,6,1.4003490015731592,20
20,7,1.4052203474261542,20
20,8,1.409259842243421,20
20,9,1.4086504953502428,20
20,10,1.3999857778247895,20
20,11,1.3959690065586088,20
20,12,1.3996331081647524,20
20,13,1.3984064262587332,20
20,14,1.4069350093668682,20
20,15,1.3966506361801245,20
20,16,1.3953597189291493,20
20,17,1.4021384760998707,20
20,18,1.3969155223314094,20
20,19,1.4040245710138382,20
20,20,1.3941041916367418,20
20,21,1.396081683936281,20
20,22,1.4031308062851884,20
20,23,1.3949270792068482,20
20,24,1.392968476411614,20
20,25,1.4015390968428354,20
20,26,1.404522917174823,20
20,27,1.3882225669679522,20
20,28,1.3875513125813397,20
20,29,1.4030189671515156,20
20,30,1.3968307929751513,20
20,31,1.4049271015766323,20
20,32,1.399267701357454,20
20,33,1.4024445227911668,20
20,34,1.3994291947415904,20
20,35,1.3843241908480552,20
20,36,1.394954964440283,20
20,37,1.4000752520348407,20
20,38,1.3868635389293575,20
20,39,1.4054049354810063,20
20,40,1.402535646920711,20
20,41,1.3955765513375755,20
20,42,1.399100859276028,20
20,43,1.3959463922347515,20
20,44,1.3838339528361634,20
20,45,1.3972027768230049,20
20,46,1.402497202779882,20
20,47,1.3891569954586809,20
20,48,1.4036190882845305,20
20,49,1.4005745999982493,20
20,50,1.4018932393675088,20
20,51,1.4083296242541223,20
20,52,1.3975743135078682,20
20,53,1.4035873921943878,20
20,54,1.3980158830890443,20
20,55,1.4009669692197555,20
20,56,1.3917660244890475,20
20,57,1.4034401106703633,20
20,58,1.409423955147882,20
20,59,1.4014118615869442,20
20,60,1.396985318100631,20
20,61,1.3974524525747511,20
20,62,1.3971540524242456,20
20,63,1.404994940267499,20
20,64,1.3962447728796819,20
20,65,1.4056633859253775,20
20,66,1.397261793639441,20
20,67,1.4146249905349741,20
20,68,1.3986113494882184,20
20,69,1.3991891886424037,20
20,70,1.4034302470052487,20
20,71,1.4005151691621953,20
20,72,1.3881273333121076,20
20,73,1.3925012302964577,20
20,74,1.4065662677259794,20
20,75,1.3990203838910265,20
20,76,1.388576718816045,20
20,77,1.3916595500844502,20
20,78,1.4036530774058584,20
20,79,1.4102493928849855,20
20,80,1.395023967759811,20
20,81,1.3976149981001305,20
20,82,1.3989813946074772,20
20,83,1.3968887185883212,20
20,84,1.3911730045077877,20
20,85,1.3965318075933486,20
20,86,1.4010940408172288,20
20,87,1.397431256203225,20
20,88,1.39154373476801,20
20,89,1.3922420612564512,20
20,90,1.3978381870143257,20
20,91,1.3929269980702492,20
20,92,1.3986775976629662,20
20,93,1.3975903812431125,20
20,94,1.4132453222232264,20
20,95,1.3862211254056958,20
20,96,1.3989727520344188,20
20,97,1.4066032440651146,20
20,98,1.3931826971028838,20
20,99,1.4012572734011761,20
20,100,1.4024628541118334,20
25,1,1.396303663023188,20
25,2,1.3961559755249242,20
25,3,1.4194718244317908,20
25,4,1.4105421126746212,20
25,5,1.3937931950523172,20
25,6,1.3971665551953534,20
25,7,1.4121671829850313,20
25,8,1.4006426578068183,20
25,9,1.3979044336488065,20
25,10,1.4148917637060858,20
25,11,1.40719737558827,20
25,12,1.411817222533016,20
25,13,1.41188374957441,20
25,14,1.4116288948836944,20
25,15,1.414271945147249,20
25,16,1.40436978251681,20
25,17,1.3972134045073359,20
25,18,1.408791531639143,20
25,19,1.4194959703048562,20
25,20,1.4086413510677551,20
25,21,1.4095568373121363,20
25,22,1.4010902202787046,20
25,23,1.4132668388742953,20
25,24,1.409893506882457,20
25,25,1.405012860803303,20
25,26,1.3915620541997185,20
25,27,1.41206611955484,20
25,28,1.393609382629721,20
25,29,1.4094505491536329,20
25,30,1.4077782605722289,20
25,31,1.407688146378379,20
25,32,1.403517054517651,20
25,33,1.4059658440344613,20
25,34,1.3929950128550912,20
25,35,1.4092512699857913,20
25,36,1.4014152494153165,20
25,37,1.3960844805162456,20
25,38,1.4102268157680007,20
25,39,1.3935806543467406,20
25,40,1.4131635619117167,20
25,41,1.4118142725028988,20
25,42,1.3910255180798612,20
25,43,1.4126169914489513,20
25,44,1.4145439019329384,20
25,45,1.4212094519752994,20
25,46,1.3963061610466239,20
25,47,1.4067254040507673,20
25,48,1.4072254790650875,20
25,49,1.4006786129520976,20
25,50,1.3951810556128152,20
25,51,1.4104660551254187,20
25,52,1.4176406417048937,20
25,53,1.3965642815986348,20
25,54,1.4196740799783085,20
25,55,1.3900900850290268,20
25,56,1.4005712777641588,20
25,57,1.4195981651102116,20
25,58,1.4038877779991834,20
25,59,1.41023975968859,20
25,60,1.414765805052664,20
25,61,1.4112064458438964,20
25,62,1.4081727182087864,20
25,63,1.3927277448497402,20
25,64,1.4092171859529175,20
25,65,1.3979593235951582,20
25,66,1.412654497153043,20
