N,C,k
25,1.4320772103455073,8
50,1.4358210329030914,8
75,1.4377013762215822,8
100,1.4368064311248703,8
125,1.4396528274746505,8
150,1.4395112991950372,8
175,1.4393715801374942,8
200,1.4397083617911666,8
225,1.43994,8
250,1.439754,8
275,1.439511,8
300,1.439397,8
