N,run,C,k
125,1,1.4395244375790812,8
125,2,1.4397638855155854,8
125,3,1.4392792779964694,8
125,4,1.4393249755461706,8
125,5,1.4388910151025254,8
125,6,1.4387561974896368,8
125,7,1.4381346143634033,8
125,8,1.4396347352894663,8
125,9,1.4402178411237319,8
125,10,1.4397563813256724,8
125,11,1.4381917154638493,8
125,12,1.4398262735695342,8
125,13,1.438177527645637,8
125,14,1.4396783408924516,8
125,15,1.439705067807066,8
125,16,1.4392789961718853,8
125,17,1.4391232748959102,8
125,18,1.4385812045559019,8
125,19,1.4384269947164425,8
125,20,1.4383792492662857,8
125,21,1.4383543485673878,8
125,22,1.4394691878347359,8
125,23,1.4387486803913894,8
125,24,1.4395040662724699,8
125,25,1.4386814489104411,8
125,26,1.4405672817353528,8
125,27,1.439071449654083,8
125,28,1.4391211545292013,8
125,29,1.437528218082658,8
125,30,1.4403029326657202,8
125,31,1.440118219851668,8
125,32,1.4386182026527659,8
125,33,1.4392603868551763,8
125,34,1.4389428574334115,8
125,35,1.438357283953738,8
125,36,1.4379925358979178,8
125,37,1.4388587360008012,8
125,38,1.4393495296609184,8
125,39,1.4387527367841302,8
125,40,1.4392265211534403,8
125,41,1.4398850609722562,8
125,42,1.4391961644402578,8
125,43,1.440193373044228,8
125,44,1.4387613999033864,8
125,45,1.4383688038101494,8
125,46,1.4385387198971165,8
125,47,1.4403555291293717,8
125,48,1.4390955832946397,8
125,49,1.4399595193333485,8
125,50,1.4392471870622858,8
125,51,1.4391843300326579,8
125,52,1.4391213701345937,8
125,53,1.4403083979637914,8
125,54,1.4395272081005817,8
125,55,1.4391792730301112,8
125,56,1.4402788453163302,8
125,57,1.4398222270412668,8
125,58,1.4408541724926314,8
125,59,1.4380430948792515,8
125,60,1.4393843233947314,8
125,61,1.4386053127256007,8
125,62,1.4396946376006592,8
125,63,1.438548990925444,8
125,64,1.4385579864289986,8
125,65,1.438843506863377,8
125,66,1.4398198560596975,8
125,67,1.439190131624401,8
125,68,1.4381547611547876,8
125,69,1.4383509395199272,8
125,70,1.4389574953386028,8
125,71,1.4397045206546735,8
125,72,1.44135043284358,8
125,73,1.4394391351441316,8
125,74,1.440568323674973,8
125,75,1.4391831701503837,8
125,76,1.440160517034695,8
125,77,1.438710832407039,8
125,78,1.438744881584927,8
125,79,1.438587558549255,8
125,80,1.4376883634404096,8
125,81,1.4400186635473318,8
125,82,1.43826527393523,8
125,83,1.4386623390519784,8
125,84,1.4398754878483608,8
125,85,1.4380014130209455,8
125,86,1.4392632134085392,8
125,87,1.4391621164123054,8
125,88,1.4389099704487713,8
125,89,1.438354657421325,8
125,90,1.4395224688493575,8
125,91,1.4397124449566938,8
125,92,1.438270440120857,8
125,93,1.439931612046181,8
125,94,1.4405664971223773,8
125,95,1.4407425626465575,8
125,96,1.4393051724910866,8
125,97,1.4392772849951594,8
125,98,1.4387081177054832,8
125,99,1.4384952736152803,8
125,100,1.4388448858359766,8
